a.m.,เอเอ็ม,ก่อนเที่ยง
abandon,อะแบ๊นดั้น,"ปล่อย,ละทิ้ง"
abdomen,แอบโด๊เม็น,ช่องท้อง
ability,อะบิ๊ลิตี้,ความสามารถ
ablaze,อะแบล๊ซฺ,โชติช่วง
able,เอ๊เบิ้ล,สามารถ
abnormal,แอบน๊อร์มอล,ผิดปรกติ
abolish,อะโบ๊ลิช,เลิกล้ม
about,อะเบ๊าท,"เกี่ยวกับ,ประมาณ,แถวๆ"
above,อะโบ๊ฝ,"เหนือ,สูงกว่า"
abroad,อะบร๊อด,"กว้าง,ต่างประเทศ"
absent,แอ๊บเซ่นท,"ขาด,ไม่อยู่"
absolute,แอ๊บโซลู้ท,"สัมบูรณ์,แท้จริง"
absorb,แอ๊บซ๊อร์บ,"ดูดซับ,รับเอาไว้"
abstract,แอ๊บสแทรคทฺ,ไม่มีตัวตน
absurd,แอ๊บเซิร์ท,"เหลวไหล,น่าขัน"
abundant,อะบั๊นแด้นท,"มากมาย,สมบูรณ์"
academy,อะคาเด๊มี่,"วิชาการ,โรงเรียน"
accelerate,แอ๊คเซ้ลเลอเรท,เร่ง
accept,แอ๊คเซพท,"รับ,ยอมรับ"
access,แอ๊คเซส,เข้าถึง
accessory,แอ๊คเซสซอรี่,ส่วนเพิ่มเติม
accident,แอ๊คซิเด็นท,อุบัติเหตุ
acclaim,แอ๊คเคลม,"ไชโย,โห่ร้อง"
accompany,แอ๊คคอมพานี่,"มากับ,ไปกับ"
accomplish,แอ๊คคอมผลิช,ทำให้เสร็จลง
accord,แอ๊คคอร์ด,"ตรงกัน,ต้องกัน"
account,แอ๊คเค้าท,"บัญชี,รับผิดชอบ"
accountant,อะ เคา’เทินท,สมุหบัญชี
accumulate,แอ๊คคิวมูเหลท,สะสม
accurate,แอ๊คคิวเหรท,"แน่นอน,เที่ยงตรง"
accuse,แอ๊คคิ้วส,กล่าวหา
accustom,แอ๊คคัสต้อม,ฝึกให้เคยชิน
ache,เอช,ปวด
achieve,อะชี้ฝ,บรรลุ
acid,เอ๊สิด,กรด
acknowledge,แอ๊คโนเหล็จ,"ยอมรับ,รับรอง"
acme,แอ๊คมี่,สูงสุด
acquire,แอ๊คไควร์,"ได้มา,เข้ายึด"
acre,เอ๊เค่อร์,2.5 ไร่
acrobat,แอค โรแบท,นักกายกรรม
across,อะคร๊อส,ข้าม
act,แอ๊คท,"กระทำ,แสดง"
actor,แอ็คเทอะ,นักแสดงชาย
actress,แอ็คทริส,นักแสดงหญิง
actual,แอ๊คช่วล,"ที่จริง,แท้จริง"
Adam’s apple,แอเดิมส แอ๊พเพิล,ลูกกระเดือก
adapt,อะแด๊พท์,"ดัดแปลง,ทำให้เหมาะ"
add,แอ๊ด,"เพิ่ม,บวก"
addict,แอ๊ดดิคท,ติด(ยาเสพติด)
addition,แอ๊ดดิชั่น,เพิ่มเติม
address,แอ๊ดเดรส,ที่อยู่
adequate,แอ๊ดดีเควท,เพียงพอ
adhere,แอ๊ดเฮียร,ติด
adjacent,แอดจ๊าเซ่นท,"ประชิด,ใกล้เคียง"
adjoin,แอ๊ดจอย,ติด
adjust,แอ๊ดจัสท,"ปรับ,ปรับตั้ง"
adman,แอด เมิน,นักโฆษณา
administrate,แอ๊ดมินิเทรท,"บริหาร,จัดการ"
admire,แอ๊ดไมร,"นับถือ,เลื่อมใส"
admit,แอ๊ดมิท,"รับเข้าไว้,ยอมรับ"
adopt,อะด๊อพท,"รับเอา,นำมาใช้"
adrift,อะดริ๊ฟท,ลอยไป
adult,อะดั๊ลท,ผู้ใหญ่
advance,แอดฝ๊านซ,ก้าวหน้า
advantage,แอดแฝ๊นเทจ,"ได้เปรียบ,เป็นประโยชน์"
adventure,แอดเฝ๊นเจ้อร์,ผจญภัย
adversary,แอ๊ดเฝอร์ซารี่,"เป็นปฏิปักษ์,ตรงกันข้าม"
advertise,แอ๊ดเฝอร์ไท้ส,โฆษณา
advice,แอดไฝ๊ซ์,แนะนำ
advocate,แอ๊ดโฝเขท,"สนับสนุน,เป็นทนาย"
aeon,อี๊อ้อน,ชั่วกัลปวสาน
aero-,แอ๊โร่,อากาศ
aeroplane,แอ๊โร่เพลน,เครื่องบิน
affair,แอฟแฟร์,"เรื่อง,กิจธุระ"
affect,แอฟเฟค,กระทบกระเทือน
affirm,แอฟเฟิร์ม,"รับรอง,ยืนยัน"
afford,แอฟฟอร์ด,สามารถมีได้
afraid,อะเฟรด,"กลัว,เกรง"
after,แอ๊ฟเท่อร,"หลังจาก,ภายหลัง"
aftershave,อาฟเทอร์เชฟ,โลชั่นโกนหนวด
again,อะเกน,อีกครั้ง
against,อะเก้นสท,"แข่งกับ,สู้กับ,ต่อต้าน"
age,เอจ,"อายุ,แก่"
agency,เอ๊เจ็นซี่,ตัวแทน
agenda,อะเจ๊นด้า,วาระการประชุม
agent,เอเจ้นท,ผู้แทน
aggregate,แอ๊กกรีเกท,"สรุป,ไหลไปรวมกัน"
aggressive,แอกเกร๊สสีฝ,"ก้าวร้าว,รุกราน"
ago,อะโก,-มาแล้ว
agree,อะกรี,"ตกลง,เห็นพ้อง"
agriculture,แอ๊กรีคัลเจ่อร์,เกษตรกรรม
agriculturist,แอกกริคัล เชอะริสท,เกษตรกร (ชาวนา)
ahead,อะเฮด,ข้างหน้า
aid,เอด,ช่วยเหลือ
aim,เอม,"มุ่ง,มุ่งหมาย"
air,แอร์,อากาศ
air hostess,แอ โฮสติส,แอร์โฮสเตส
